power,memory Used,u_gpu,u_memory
40.13,22.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
39.94,46.0,0.0,0.0
42.37,725.0,37.0,29.0
46.25,725.0,50.0,40.0
143.81,725.0,74.0,69.0
179.22,725.0,67.0,56.0
163.55,725.0,67.0,56.0
65.56,725.0,83.0,86.0
161.14,725.0,83.0,85.0
157.31,725.0,83.0,86.0
142.38,725.0,75.0,70.0
165.8,725.0,76.0,73.0
41.5,320.0,73.0,67.0
40.04,34.0,0.0,0.0
40.13,34.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
41.1,723.0,0.0,0.0
51.85,725.0,37.0,29.0
100.56,725.0,74.0,69.0
166.0,725.0,72.0,66.0
179.22,725.0,67.0,56.0
163.55,725.0,67.0,56.0
65.56,725.0,83.0,86.0
161.14,725.0,83.0,85.0
157.31,725.0,83.0,86.0
142.38,725.0,75.0,70.0
165.8,725.0,76.0,73.0
40.13,22.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
39.94,46.0,0.0,0.0
42.37,725.0,37.0,29.0
46.25,725.0,50.0,40.0
143.81,725.0,74.0,69.0
179.22,725.0,67.0,56.0
163.55,725.0,67.0,56.0
65.56,725.0,83.0,86.0
161.14,725.0,83.0,85.0
157.31,725.0,83.0,86.0
142.38,725.0,75.0,70.0
165.8,725.0,76.0,73.0
40.13,22.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
39.94,46.0,0.0,0.0
42.37,725.0,37.0,29.0
46.25,725.0,50.0,40.0
143.81,725.0,74.0,69.0
179.22,725.0,67.0,56.0
163.55,725.0,67.0,56.0
65.56,725.0,83.0,86.0
161.14,725.0,83.0,85.0
157.31,725.0,83.0,86.0
142.38,725.0,75.0,70.0
165.8,725.0,76.0,73.0
40.13,22.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
40.04,34.0,0.0,0.0
